accesso;annoaccademico;campus;cod_scuola;corso_codice;corso_descrizione;durata;immatricolabile;internazionale;lingue;scuola;sededidattica;tipologia;url
numero chiuso;2016/2017;Bologna;3;8005;Biotecnologie [L];3;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8005
numero chiuso;2016/2017;Bologna;3;8012;Scienze biologiche [L];3;True;;Italiano;Scienze Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8012
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;3;8021;Biologia molecolare e cellulare [LM];2;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8021
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;3;8022;Biotecnologie molecolari e industriali [LM];2;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8022
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;3;8023;Biologia della salute [LM];2;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8023
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;3;8036;Scienze e tecniche dell'attivita' motoria preventiva e adattata [LM];2;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8036
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;3;8037;Scienze e tecniche dell'attivita' sportiva [LM];2;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8037
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Rimini;3;8210;Management delle attivita' motorie e sportive [LM];2;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Rimini;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8210
numero chiuso;2016/2017;Bologna;3;8412;Chimica e tecnologia farmaceutiche;5;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie [LMCU];Bologna;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8412
numero chiuso;2016/2017;Bologna;3;8413;Farmacia (Bologna);5;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie [LMCU];Bologna;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8413
numero chiuso;2016/2017;Rimini;3;8414;Farmacia (Rimini);5;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie [LMCU];Rimini;Laurea Magistrale a ciclo unico;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8414
numero chiuso;2016/2017;Bologna;3;8512;Scienze delle attivita' motorie e sportive [L] (Bologna);3;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8512
numero chiuso;2016/2017;Rimini;3;8517;Controllo di qualita' dei prodotti per la salute [L];3;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8517
numero chiuso;2016/2017;Bologna;3;8518;Scienze farmaceutiche applicate [L];3;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Imola;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8518
libero accesso con verifica dell'adeguatezza della preparazione;2016/2017;Bologna;3;8519;Biotecnologie farmaceutiche [LM];2;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Bologna;Laurea Magistrale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8519
numero chiuso;2016/2017;Rimini;3;8766;Scienze delle attivita' motorie e sportive [L] (Rimini);3;True;;Italiano;Farmacia, Biotecnologie e Scienze motorie;Rimini;Laurea;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8766
