annoaccademico;immatricolabile;cod_scuola;corso_codice;corso_descrizione;url;campus;sededidattica;scuola;tipologia;durata;lingue;internazionale;accesso
2016/2017;True;11;8040;Servizio sociale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8040;Bologna;Bologna;Scienze politiche;Laurea;3;Italiano;;numero chiuso
2016/2017;True;11;8048;Scienze internazionali e diplomatiche [L];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8048;Forlì;Forlì;Scienze politiche;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;11;8049;Interdisciplinary research and studies on eastern europe;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8049;Forlì;Forlì;Scienze politiche;Laurea Magistrale;2;Inglese;interamente internazionale;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8051;Mass media e politica;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8051;Forlì;Forlì;Scienze politiche;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8491;Scienze criminologiche per l'investigazione e la sicurezza;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8491;Forlì;Forlì;Scienze politiche;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8495;Sociologia;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8495;Forlì;Forlì;Scienze politiche;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;False;11;8510;Sviluppo e cooperazione internazionale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8510;Bologna;Bologna;Scienze politiche;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;11;8782;Relazioni internazionali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8782;Bologna;Bologna;Scienze politiche;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8783;Scienze internazionali e diplomatiche [LM];http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8783;Forlì;Forlì;Scienze politiche;Laurea Magistrale;2;Italiano Inglese;uno o più curricula internazionali;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8784;Politica, amministrazione e organizzazione;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8784;Bologna;Bologna;Scienze politiche;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;False;11;8785;Sviluppo locale e globale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8785;Bologna;Bologna;Scienze politiche;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8786;Sociologia e servizio sociale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8786;Bologna;Bologna;Scienze politiche;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8840;Comunicazione pubblica e d'impresa;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8840;Bologna;Bologna;Scienze politiche;Laurea Magistrale;2;Italiano;;numero chiuso
2016/2017;True;11;8853;Scienze politiche, sociali e internazionali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8853;Bologna;Bologna;Scienze politiche;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;11;8889;Cooperazione internazionale, tutela dei diritti umani e dei beni etno-culturali;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8889;Ravenna;Ravenna;Scienze politiche;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
2016/2017;True;11;8890;Sviluppo e cooperazione internazionale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/8890;Bologna;Bologna;Scienze politiche;Laurea;3;Italiano;;libero accesso con verifica delle conoscenze
2016/2017;True;11;9200;Sviluppo locale e globale;http://www.unibo.it/it/didattica/corsi-di-studio/corso/2016/9200;Bologna;Bologna;Scienze politiche;Laurea Magistrale;2;Italiano;;libero accesso con verifica dell'adeguatezza della preparazione
